"","Gene.symbol","logFC"
"1481","MRPL55",-1.56
"1482","NKD1",-1.02
"1484","GALM",1.27
"1486","",-1.17
"1487","PHKG2",-1.88
"1489","ALDOB",-1.12
"1490","TRPM3",-1.87
"1493","SST",-4.29
"1494","DNAJB13",-1.26
"1495","",-2.16
"1496","FLNA",1.26
"1498","PCDHB1",-1.05
"1499","C20orf27",2.04
"1502","KRT80",1.9
"1503","PCAT18",-1.93
"1509","RRAGD",1.05
"1510","LIPF",-5.53
"1511","NRK",2.38
"1512","LIPG",1.32
"1514","CENPF",1.84
"1516","COL2A1",-3.32
"1517","PADI2",1.67
"1518","TEKT5",-1.33
"1521","IQCH",-1.39
"1523","MT1G",-2.39
"1524","GATA5",-2.81
"1525","PACSIN1",-1.07
"1528","TMEM125",-1.01
"1532","NTN4",-1.16
"1534","",1.18
"1537","TKT",1.04
"1539","",-1.09
"1541","",-1.45
"1542","PKNOX2",-1.6
"1544","ENPP6",-1.69
"1546","MYH7B",-1.77
"1547","SLC16A10",-2.33
"1549","LOC286191",-2.19
"1550","KRT17///JUP",2.78
"1551","ZNF385B",-2.59
"1555","VSTM2A",-1.81
"1556","LINC01128",1.33
"1558","POLB",-2.25
"1559","GPT2",-1.5
"1560","CCND2",1.12
"1562","HOXA13",1.38
"1563","MMP11",1.65
"1564","BCL2L15",-1.18
"1569","BHLHE22",1.09
"1570","ITGAX",1.32
"1571","CHSY3",1.38
"1572","LOC101927651",-1.34
"1573","TOX",-1.38
"1574","CYP2S1",-1.51
"1576","CCDC157",-1.45
"1577","RDH8",-1.64
"1578","PYGO1",-1.9
"1579","S100A10",1.25
"1580","SPAG5",1.38
"1585","TFF2",-3.48
"1586","NEK1",-1.31
"1588","CCBE1",-1.24
"1589","PLXNB1",1.96
"1591","ADARB1",-2.05
"1592","CELA3B",-2.57
"1593","",-1.87
"1594","CAMK2B",-1.5
"1595","ARPC1B",1.15
"1596","",1.47
"1597","TMPRSS2",-1.1
"1600","ADA",-1.34
"1601","",-1.48
"1603","PYM1",-2.15
"1605","",1.26
"1609","LCN6",-1.54
"1611","CASR",-1.61
"1613","SLC38A5",-1.11
"1614","ASGR1",1.89
"1616","",-1.44
"1620","IQCH",-2.03
"1622","TIMM17B",-2.16
"1623","",1.61
"1624","LOC101927495",-1.32
"1626","FANCB",1.81
"1627","FGD4",-1.4
"1631","DPYSL3",1.19
"1632","MYL1",-1.64
"1633","OSCAR",1.64
"1635","SUGT1P1",-1.51
"1638","ATP6V0E2-AS1",-1.81
"1639","KIF26B",1.52
"1640","LEPROT///LEPR",-1.66
"1641","IQGAP2",-1.28
"1643","WDR72",2.59
"1645","EPN1",-1.12
"1649","LOC101060400",1.55
"1650","GPR155",-2.34
"1651","ERBB4",-2.27
"1652","MBP",-1.19
"1653","CSHL1",-2.24
"1654","BPIFA3",-1.63
"1656","POC1A",1.11
"1661","FMNL3",1.96
"1662","KIAA1958",-1.56
"1663","PTGIR",-1.51
"1664","PLD4",1.5
"1666","",-1.5
"1667","",1.31
"1671","ATE1",-1.46
"1674","GCNT2",-1.64
"1676","EPHB2",1.64
"1677","LDHB",-1.13
"1679","",-1.52
"1682","RASAL2",1.54
"1685","ATP4B",-2.36
"1686","PTPRN2",-1.17
"1690","SBSPON",-1.85
"1692","AOX2P",-1.87
"1693","SYTL2",-1.27
"1694","HCG8///ZNRD1ASP",-1.99
"1696","CHGB",-2.36
"1699","GPX3",-1.2
"1700","RPS6KA6",-1.58
"1701","KIAA1324",-2.31
"1702","ZBED3-AS1",-1.6
"1703","TWIST1",1.53
"1705","",-1.99
"1709","",1.34
"1711","",-1.18
"1712","PSCA",-3.17
"1714","",-2.13
"1715","OASL",-1.24
"1716","CNGA1",-1.38
"1717","PLCXD3",-2.03
"1719","GABRB3",-1.91
"1723","LINGO1-AS1",-1.31
"1724","ZNF573",-1.59
"1727","LDB2",-1.41
"1728","ASPA",-2
"1729","KIF12",1.56
"1730","MYO1B",1.11
"1732","SCNN1G",-3.12
"1733","LINGO2",-1.23
"1734","EIF5A2",-1.2
"1735","SLC16A10",-2.09
"1736","ANKRD24",-1.47
"1737","LINC01520",-2.06
"1738","SULF2",1.31
"1740","WIPI2",-1.69
"1745","ACSL1",-1.08
"1747","",-1.63
"1752","",-1.98
"1753","SLC7A8",-1.03
"1754","CCDC159",-1.25
"1756","DPT",-1.55
"1758","MPC2",-1.07
"1766","NDUFC2-KCTD14///KCTD14",-1.22
"1768","FKBP10",2.02
"1769","SLC17A4",1.41
"1770","",1.19
"1771","DERL2",-1.09
"1772","SMPD3",-1.19
"1773","C11orf63",1.3
"1782","CXADR",-1.23
"1783","ACVR2B-AS1",-1.51
"1784","LOC101928614",-1.45
"1785","CALD1",1.1
"1786","LGI1",-2.27
"1792","KCNJ15",-2.01
"1794","MIR6787///SLC16A3",1.01
"1798","KIFC2",1.94
"1801","PTPRS",-1.97
"1803","RARRES1",2.15
"1805","GRIP2",-1.62
"1808","GULP1",-1.27
"1810","",-2.27
"1811","ERICH1",-1.23
"1812","",-1.27
"1814","BCAT1",1.06
"1815","RGN",-1.6
"1820","NR2F2",-1.11
"1821","",-1.73
"1822","C17orf47",-1.52
"1823","KLHDC8A",-1.83
"1824","PDGFD",-1.44
"1825","LYPD6B",-1.9
"1826","CST4",1.72
"1827","SLC13A4",-1.07
"1831","IL34",-1.01
"1836","PDK4",-2.01
"1837","CRLS1",-1.09
"1841","LOC102725271///NTM",1.34
"1842","INTS3",-1.55
"1844","",-1.77
"1845","PPP4R4",-1.46
"1846","PIK3R2",-1.34
"1849","MYCN",-1.35
"1851","CYP2C18",-2.13
"1853","SERPINI1",-1.19
"1854","PES1",1.02
"1857","CLDN18",-3
"1858","ITGA7",1.97
"1859","BPIFB2",-1.52
"1860","ALDH1A1",-2.19
"1861","",-1.03
"1862","VRTN",-1.5
"1863","PLAC8",-1.86
"1864","AHCYL2",-1.09
"1866","KLHL23",1.56
"1873","THAP10",-1.08
"1874","LOC100419741",-1.24
"1875","FNDC5",-1.09
"1877","TPD52L2",1.08
"1878","GIF",-5.75
"1880","",-1.34
"1884","EFCAB12",-1.69
"1886","GREM2",-1.62
"1887","PMCH",1.76
"1888","ASXL3",-1.81
"1889","MELTF",1.39
"1894","LINC01314",-2.01
"1896","ASCL1",-1.59
"1898","",-1.1
"1901","IGFALS",-1.37
"1904","CLRN3",3.19
"1909","ARL10",1.32
"1911","LINC01123///LINC01106",1.43
"1912","",-1.4
"1917","COL4A5",-1.41
"1918","",-1.7
"1922","COLGALT1",1.42
"1923","",1.26
"1932","DUSP21",-1.86
"1933","SH3PXD2A-AS1",1.87
"1935","SLC13A3",-1.03
"1936","FAM13A",-1.12
"1939","GLTSCR2",-1.04
"1940","GNAO1",1.31
"1941","",1.14
"1944","ESRRG",-4.37
"1945","CIRBP-AS1",-1.15
"1947","BAX",1.08
"1949","ANKRD9",-1.34
"1950","",-1.65
"1952","MAST1",-2.16
"1955","TNNI3K",-1.05
"1957","",1.24
"1958","LINC01304",-1.5
"1960","C5orf49",-1.78
"1964","ESRRB",-1.34
"1966","LOC728175",-1.88
"1967","RAP1GAP",-1.67
"1969","KCNQ1",-1.84
"1971","SNX29",1.28
"1972","HTR6",-1.13
"1973","MIR142",1.97
"1975","PALM3",-2.42
"1981","DPYSL3",1.33
"1982","FBXO32",1.17
"1984","EHD2",1.71
"1986","CYP4B1",-2.69
"1987","COCH",1.63
"1988","",-2.48
"1989","SNX32",-1.34
"1991","ITGBL1",1.3
"1993","SIRPA",1.2
"1995","KIAA1324",-2.11
"1996","SPOCK1",1.56
"1997","FAM13A",-1.04
"2001","TNFSF9",1.52
"2002","TIFA",-1.17
"2003","SLC37A2",1.05
"2004","RAB11B-AS1",-1.23
"2006","GRM5",-1.59
"2007","CHGA",-3.49
"2009","ARFGAP1",1.14
"2010","SEMA3D",-1.82
"2012","TRIM65",-1.15
"2014","RAB27B",-1.24
"2015","ZNF396",-2.09
"2016","SATB2-AS1",-1.79
"2017","ULBP2",1.89
"2020","ADGRE1",-1.22
"2021","CYP2C18",-1.7
"2024","FGD6",1.46
"2025","COLCA1",-2.03
"2027","",1.66
"2028","",-1.28
"2033","",-1.53
"2034","P3H4",1.26
"2035","ADA",-1.27
"2037","RAPGEF4",-1.07
"2038","NR5A2",1.26
"2041","CD9",1.17
"2042","FANCC",-1.88
"2043","PTGER3",-1.36
"2049","LINC01105",-2.81
"2052","ASXL3",-1.58
"2055","UNC5A",-1.21
"2059","",1.37
"2060","NDUFC2-KCTD14///KCTD14",-1.19
"2062","",-1.27
"2063","MDFI",1.49
"2065","FUT9",-4.28
"2068","PROSER2-AS1",-1.52
"2072","",-1.44
"2073","GLUL",-1.35
"2077","COL12A1",1.57
"2081","PIGR",-1.53
"2082","LDHB",-1.08
"2084","SNORA70///RPL10",-1.29
"2086","CCDC80",1.28
"2087","",-1.7
"2088","",-1.57
"2089","ADAM12",1.61
"2098","",-1.82
"2099","PDPN",1.09
"2103","KCNA1",-1.44
"2104","SOX9-AS1",-1.57
"2105","",-1.94
"2106","C20orf27",1.25
"2107","BACH1",-1.79
"2110","RHD",-2.09
"2111","ACVR1C",-1.15
"2117","SLC6A13",-1.63
"2118","NOSTRIN",-1.22
"2119","FLNA",1.19
"2120","",-1.05
"2121","TNFSF4",1.14
"2122","SPINK7",-2.28
"2123","GULP1",-1.84
"2127","F2R",1.24
"2128","ITGB1BP2",1.38
"2132","EPHA6",-1.88
"2133","ARX",-2.2
"2136","KIT",-1.35
"2138","",-1.6
"2142","GABRB3",-2.22
"2143","GHR",-1.29
"2144","KCNJ5",-1.18
"2148","LOC102723380",-1.28
"2149","MPL",-1.32
"2151","PDX1",-1.82
"2154","ADH7",-2.11
"2157","CKB",-1.9
"2158","LOC105376379",-1.37
"2159","CHRM3",-1.65
"2161","MT1F",-1.83
"2162","CHAD",-1.79
"2164","ID4",-1.15
"2165","KRT7",2.63
"2173","MEIOB///LINC00254",-1.69
"2174","FARP1",-2.13
"2176","C11orf44",-1.91
"2177","KCNQ5",-2.04
"2180","LTB4R2",-1.81
"2181","PHOSPHO2-KLHL23///KLHL23",1.09
"2189","",-1.12
"2191","DAZ4///DAZ2///DAZ3///DAZ1",-3.88
"2193","",1.13
"2195","NAP1L4",1.09
"2199","SDCCAG3",-1.57
"2201","TSPAN12",-1.16
"2202","ARHGAP45",1.28
"2203","TNFRSF25",1.18
"2207","ELL2",-1.06
"2208","DUSP19",-1.49
"2209","ACKR4",-1.48
"2210","KCNJ15",-2.35
"2212","ESRRG",-3.48
"2213","AJAP1",-1.81
"2214","OPN4",-1.06
"2217","GKN2",-5.44
"2218","SEPP1",-1.41
"2219","NRG4",-2.6
"2221","PNLIPRP2",-2.33
"2225","LOC101928269///LOC100506403///RUNX1",1.39
"2226","LOC644090",-1.95
"2227","",-1.54
"2231","RPS6KA6",-2
"2233","DUSP19",-1.99
"2234","MCM5",1.11
"2238","KDM6B",1.64
"2240","MT1F",-1.93
"2246","PADI1",-1.21
"2255","PKIB",-1.6
"2257","ARFGEF3",-1.5
"2258","IRX2",-3.5
"2259","",-1.27
"2261","CAPN13",-1.79
"2263","SLC1A2",-1.93
"2264","BAG2",1.02
"2265","TNFRSF10B",1.73
"2267","FAM19A2",-1.91
"2275","BLVRA",1.14
"2276","MLLT11",1.07
"2279","LOC101928035",-1.89
"2280","COL12A1",1.08
"2281","EPPK1",1.1
"2283","LOC101928632",-1.09
"2285","",-1.5
"2286","RSPH6A",-1.36
"2287","CEP44",-1.18
"2288","FMO5",-1.81
"2291","DPEP3",-1.5
"2293","KIAA1324",-2.59
"2294","LOC101930349///LOC101930344///CGNL1",-1.3
"2298","",-1.02
"2301","THBS1",1.42
"2303","LZTS1",1.43
"2305","LOC101927051",-1.02
"2307","MTURN",-1.07
"2314","SIGLEC11",-2.46
"2315","NR2F2",-1.05
"2316","",-1.06
"2317","P2RX2",-1.05
"2318","RNF128",-1.24
"2319","LIPJ",-2.44
"2320","",-1.61
"2321","LINC01226",-1.14
"2323","GIMAP5",-1.49
"2326","MT1E",-1.65
"2328","",-1.75
"2335","COL2A1",-3.31
"2341","ANTXR1",1.83
"2347","CFAP69",-2.11
"2348","MEX3C",-1.08
"2349","SH2D6",1.22
"2354","CLIP1-AS1",-1.43
"2355","GPR161",1.77
"2356","NKX2-3",-1.49
"2357","ACHE",-1.11
"2359","ATP8A1",-1.54
"2360","LOC101928167",-1.9
"2367","",-1.27
"2373","EDDM3A",-1.96
"2375","PPARGC1A",-1.87
"2376","HMGB3P1",1.49
"2377","GULP1",-1.17
"2378","TFAP2B",-1.55
"2379","PCDHB8",1.7
"2380","KLHL29",1.18
"2384","RORC",-1.74
"2391","DUSP19",-1.29
"2394","C9orf152",-1.46
"2396","GUCA1C",-2.23
"2399","GSTA3",-2.25
"2400","LINC00982",-2.63
"2401","ZBTB7C",-1.7
"2405","SH3RF2",-1.66
"2406","DGCR12",-1.96
"2407","ZBTB10",-1.67
"2409","SCNN1B",-2.12
"2413","",-1.52
"2415","PLA2G1B",-1.66
"2421","PSEN1",-1.67
"2425","NR2E3",-1.53
"2426","HAVCR2",1.43
"2430","TGM2",1.13
"2433","",1.41
"2434","CD84",-1.32
"2435","SPATA17",1.69
"2440","MAOA",-1.02
"2441","",-1.16
"2445","UBE2S",1.01
"2446","",-1.52
"2447","PTGDR2",-1.31
"2449","KIAA2022",-2.02
"2454","MEG3",1.51
"2456","MYO1H",-1.57
"2459","B3GAT1",-2.97
"2460","CAPN13",-3.22
"2463","SBF1",1.36
"2465","GDPD1",-1.04
"2466","",-1.31
"2467","SLC9A7",-1.42
"2472","AHR",1.18
"2474","AHCYL2",-1.08
"2475","LOC100129129",-1.59
"2476","KIAA1456",-1.11
"2477","",-1.95
"2479","LAT",1.46
"2481","",-1.03
"2482","MPP7",-1.7
"2483","",1.36
"2485","HPGD",-1.28
"2486","",1.25
"2488","",-1.01
"2489","SLITRK6",-1.13
"2493","ZNF335",1.26
"2494","COL10A1",2.44
"2496","CLDN15",1.86
"2497","KLHL41",1.85
"2499","",-1.66
"2502","PP12613",-1.77
"2503","LOC399884",-1.45
"2504","AIM1L",2.25
"2506","HOXA13",2.56
"2507","LIPJ",-2.09
"2508","PLPPR4",1.34
"2510","SYTL5",-1.78
"2512","KIAA0895",-1.34
"2514","COL6A5",-1.75
"2516","",-2.23
"2517","PITPNC1",-1.18
"2522","TEX9",-2.06
"2527","CYP4X1",-1.88
"2530","KNG1",-1.91
"2532","ECI2",-1.27
"2538","LOC101928995",-1.84
"2540","UGT2B15",-2.71
"2541","AQP4",-3.36
"2544","SLC30A5",-1.04
"2546","OR10A4",-1.62
"2549","HMGN5",-1.3
"2550","DEPTOR",-1.05
"2552","",-1.47
"2553","",-1.67
"2554","ATF7IP2",-1.15
"2556","LOC105372793",-1.88
"2560","PCSK5",1.15
"2561","MASP2",1.06
"2562","CST2",1.59
"2564","B3GNT6",-2.37
"2569","KCNJ16",-3.89
"2571","",-1.73
"2572","FOLR1",-2.37
"2574","SLC16A10",-2.06
"2577","NR2F2",-1.01
"2578","KCND3",-1.28
"2579","SULT2A1",-2.25
"2582","MASP1",-1.36
"2583","KIAA1958",-1.07
"2584","",-1.71
"2585","LLGL1///FLII",1.33
"2588","ARHGAP22",1.71
"2589","EGOT",1.3
"2590","CEACAM6",2.43
"2591","ITGA5",1.24
"2595","TNFRSF4",1.67
"2597","DKFZP761C1711",-1.72
"2603","ZNF251",1.12
"2607","MROH1",1.87
"2608","LOC100506470",-1.03
"2611","GOLM1",-1.51
"2612","PLCL2",-1.02
"2615","",-1.2
"2620","PM20D1",-1.37
"2621","AVPR1B",-1.57
"2628","CD36",-1.11
"2629","PIWIL2",-1.34
"2630","SREK1",-1.61
"2631","",-1.74
"2633","CABP1",-1.57
"2634","KITLG",-1.03
"2635","",-1.69
"2638","SYBU",-1.17
"2639","KCNK15",-1.3
"2642","GPLD1",-1.35
"2647","",-1.48
"2649","",-1.63
"2650","PCDH11Y///PCDH11X",-1.59
"2651","GABRB3",-1.66
"2653","LOC401442",-1.09
"2655","KLF16",1.48
"2657","PPP2R3A",-1.44
"2659","PPP2R2C",1.44
"2660","TMEM165",-1.65
"2661","RFFL",-1.53
"2670","",-1.28
"2674","MIR100HG",1.38
"2675","",-1.41
"2676","",-1.15
"2677","",-1.86
"2680","LINC00486",-1.61
"2681","",-1.61
"2683","PTCRA",-1.48
"2691","",-1.84
"2695","SEMA3B",-1.84
"2697","",1.23
"2699","L3MBTL4",-1.61
"2703","TAS2R38",-1.69
"2704","SHOX",-1.09
"2706","YIF1B",-2.41
"2711","PKP1",-1.58
"2712","PRKACB",-1.06
"2713","ACER2",-2.1
"2715","CD209",-1.81
"2716","CYP2C9",-1.73
"2718","",2.57
"2720","HSD3B1",-1.72
"2722","EPHB1",1.61
"2723","ETNPPL",-3.97
"2724","CDCA5",1.87
"2725","",-1.1
"2727","CEACAM6",2.67
"2728","",-1.03
"2729","WISP3",2.41
"2730","PDIA2",-1.25
"2732","LURAP1",-1.13
"2736","C20orf166-AS1",-1.05
